"","AuthorDate","RequestSuccess"
"1","Albrecht2013","Did not reply"
"2","Albrecht2013","Did not reply"
"3","Amatangelo2014","Refused to share"
"4","Apaza2015","Refused to share"
"5","Aubin2009","Did not reply"
"6","Azeria2011","Did not reply"
"7","Bagaria2012","Data available"
"8","Barbaro2000","Agreed but did not share"
"9","Barbaro2009a","Shared complete data"
"10","Barbaro2009b","Shared complete data"
"11","Barbaro2012","Shared complete data"
"12","Barbaro2013","Did not reply"
"13","Barbaro2017","Shared complete data"
"14","Bartonova2016","Shared complete data"
"15","Belskaya2017","Data available"
"16","Boehnke2012","Did not reply"
"17","Bonada2007S","Shared complete data"
"18","Bonada2007W","Shared complete data"
"19","Borchardt2013","Did not reply"
"20","BrindAmour2011a","Shared complete data"
"21","BrindAmour2011b","Shared complete data"
"22","Campos2018","Shared complete data"
"23","Carvalho2015","Shared complete data"
"24","Castro2010","Shared complete data"
"25","Chambers201X","Shared incomplete data"
"26","Charbonnier2016a","Shared complete data"
"27","Charbonnier2016b","Shared complete data"
"28","Charest2000","Did not reply"
"29","Charles2015*","Refused to share"
"30","Chmura2016","Shared complete data"
"31","Choler2005","Shared complete data"
"32","ChongSeng2012a","Shared complete data"
"33","ChongSeng2012b","Shared complete data"
"34","Chust2006","Agreed but did not share"
"35","Cleary2007a","Data available"
"36","Cleary2007b","Shared incomplete data"
"37","Cleary2007d","Shared incomplete data"
"38","Cleary2016","Shared complete data"
"39","Cormont2011","Shared incomplete data"
"40","Cornwell2009","Shared incomplete data"
"41","Dehling2014","Did not reply"
"42","Dehling2014","Did not reply"
"44","Diaz2008","Shared complete data"
"45","Doledec1996","Data available"
"46","Drew2017","Data available"
"47","Duflot2014b","Did not reply"
"48","Duflot2014p","Did not reply"
"49","Dziock2011","Shared complete data"
"50","Eallonardo2013","Shared complete data"
"51","Eros2012","Did not reply"
"52","Farneda2015","Shared complete data"
"53","Fischer2013","Did not reply"
"54","Fournier2012","Did not reply"
"55","Frenette2012a","Shared complete data"
"56","Frenette2012b","Shared complete data"
"57","Frenette2013","Shared complete data"
"58","Fried2012","Shared complete data"
"59","Gallardo2009","Shared complete data"
"60","Gibb2015","Data available"
"61","Goncalves2010","Shared complete data"
"62","Goncalves2014a","Shared complete data"
"63","Goncalves2014b","Shared complete data"
"64","Hausner2003","Did not reply"
"65","Helms2011","Did not reply"
"66","Hooper2004*","Did not reply"
"67","Houseman2011","Did not reply"
"68","Huebner2012","Shared incomplete data"
"69","Jamil2012a","Shared complete data"
"70","Jamil2012b","Shared complete data"
"71","Jamil2012c","Shared complete data"
"72","Jamil2013","Shared complete data"
"73","Jamil2014","Shared incomplete data"
"74","Jeliazkov2013","Shared complete data"
"75","Jeliazkov2014","Shared complete data"
"76","Jonas2007*","Did not reply"
"77","Kleyer2012","Agreed but did not share"
"78","Krasnov2015","Shared complete data"
"79","Kroeber2012","Did not reply"
"80","Kuehner2008","Did not reply"
"81","Landi2009","Did not reply"
"82","Langlands2011","Did not reply"
"83","Legendre1997","Did not reply"
"84","Lienin2011","Agreed but did not share"
"85","Lindo2012","Agreed but did not share"
"86","Lowe2018a","Shared complete data"
"87","Lowe2018b","Shared complete data"
"88","Lu2014*","Refused to share"
"89","Mabry2000","Did not reply"
"90","Marteinsdottir2014","Shared complete data"
"92","Meffert2013","Shared complete data"
"93","Moretti2009","Refused to share"
"94","Moretti2010","Refused to share"
"95","Neuschulz2012","Did not reply"
"96","Ossola2015","Shared complete data"
"97","Pakeman2011","Shared complete data"
"98","Palozzi2017","Shared incomplete data"
"99","Pavoine2011","Data available"
"100","Pekin2011","Shared complete data"
"101","Pillar2009","Agreed but did not share"
"102","Pollock2012","Did not reply"
"103","Pomati2013","Shared complete data"
"104","Purschke2012a","Shared complete data"
"105","Purschke2012b","Shared complete data"
"106","Purschke2012c","Shared complete data"
"107","Purschke2012d","Shared complete data"
"108","Purschke2012e","Shared complete data"
"109","Rachello2007","Shared complete data"
"110","Raevel2012","Shared complete data"
"111","Ribera2001","Data available"
"112","Robinson2014","Shared complete data"
"113","Robroek2017a","Data available"
"114","Robroek2017b","Data available"
"115","Roy2006","Did not reply"
"116","Sheremetev2009","Agreed but did not share"
"117","Sheremetev2014","Agreed but did not share"
"118","Shieh2012","Shared complete data"
"120","Spake2016","Shared complete data"
"121","Stanko2014","Shared complete data"
"122","Sternberg2013","Did not reply"
"123","Tall2006","Did not reply"
"124","Thuiller2004","Did not reply"
"125","Urban2004a","Shared complete data"
"126","Urban2004b","Shared incomplete data"
"127","vanKlink2017","Shared complete data"
"128","vanKlink2018a","Shared complete data"
"129","vanKlink2018b","Shared complete data"
"130","vanKlink2018c","Shared complete data"
"131","vanKlink2018d","Shared complete data"
"132","vanKlink2018e","Shared complete data"
"133","Vasilev2010","Did not reply"
"134","Villeger2012a","Shared complete data"
"135","Villeger2012b","Shared complete data"
"136","Villeger2012c","Shared complete data"
"137","Villeger2012d","Shared complete data"
"138","Villeger2012e","Shared complete data"
"139","Westgate2012","Shared complete data"
"140","Wiescher2012","Did not reply"
"141","Yates2014","Shared complete data"
"142","Zhang2016","Did not reply"
